Grumblewort Fizzlebottom
Seraphina Moonwhisper
Thaddeus Thunderbeard
Lysander Evergreen
Wilhelmina Frostgale
Gromblewinkle Snickerdoodle
Morgana Shadowthorn
Percival Firestone
Poppy Bumblefoot
Roderick Bramblethorn
Belinda Spellweaver
Bartholomew Puddlefoot
Genevieve Emberheart
Tiberius Craghammer
Esmeralda Silverwing
Finnegan Muddlefoot
Petunia Whiskerfloss
Cedric Stormwatch
Penelope Moonblossom
Gideon Gobblenoodle
Arabella Frostflower
Barnaby Whifflesnoot
Seraphiel Sparklefeather
Mortimer Snugglebottom
Delilah Nightshade
Reginald Thunderpants
Winifred Willowbrook
Barnabus Blunderfluff
Seraphina Stardust
Montgomery Featherbottom
Prudence Wobblebottom
Peregrine Silverbrook
Millicent Whimsyfoot
Archibald Quickspell
Gwendolyn Stoneheart
Reginald Noodlewiggle
Beatrice Starling
Fergus Muddlepuff
Penelope Glimmerwing
Ignatius Snickerdoodle
Cornelia Moonstone
Barnaby Bumblebop
Eudora Fizzlepop
Horace Fluffernutter
Ophelia Bramblethorn
Algernon Whiskerwhump
Jocelyn Emberkin
Percival Gobblenoodle
Hortense Muddlefoot
Reginald Whiffletoe
